
활성 연결

  프로토콜  로컬 주소              외부 주소              상태            PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1292
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING       5604
  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING       5604
  TCP    0.0.0.0:1158           0.0.0.0:0              LISTENING       10692
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       5572
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       4840
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       1684
  TCP    0.0.0.0:3938           0.0.0.0:0              LISTENING       8996
  TCP    0.0.0.0:4494           0.0.0.0:0              LISTENING       13976
  TCP    0.0.0.0:4495           0.0.0.0:0              LISTENING       13976
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       12472
  TCP    0.0.0.0:5520           0.0.0.0:0              LISTENING       10692
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       4688
  TCP    0.0.0.0:12380          0.0.0.0:0              LISTENING       18196
  TCP    0.0.0.0:14430          0.0.0.0:0              LISTENING       5320
  TCP    0.0.0.0:14440          0.0.0.0:0              LISTENING       5320
  TCP    0.0.0.0:15018          0.0.0.0:0              LISTENING       2848
  TCP    0.0.0.0:21300          0.0.0.0:0              LISTENING       16204
  TCP    0.0.0.0:22131          0.0.0.0:0              LISTENING       1400
  TCP    0.0.0.0:22380          0.0.0.0:0              LISTENING       18196
  TCP    0.0.0.0:30403          0.0.0.0:0              LISTENING       4752
  TCP    0.0.0.0:30409          0.0.0.0:0              LISTENING       4728
  TCP    0.0.0.0:30419          0.0.0.0:0              LISTENING       4728
  TCP    0.0.0.0:42233          0.0.0.0:0              LISTENING       21056
  TCP    0.0.0.0:42235          0.0.0.0:0              LISTENING       1508
  TCP    0.0.0.0:45111          0.0.0.0:0              LISTENING       29340
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1016
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1904
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2700
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2936
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3928
  TCP    0.0.0.0:49671          0.0.0.0:0              LISTENING       4148
  TCP    0.0.0.0:49673          0.0.0.0:0              LISTENING       4760
  TCP    0.0.0.0:49740          0.0.0.0:0              LISTENING       1040
  TCP    0.0.0.0:49789          0.0.0.0:0              LISTENING       756
  TCP    0.0.0.0:52167          0.0.0.0:0              LISTENING       22936
  TCP    0.0.0.0:52176          0.0.0.0:0              LISTENING       18556
  TCP    0.0.0.0:52177          0.0.0.0:0              LISTENING       22936
  TCP    0.0.0.0:55920          0.0.0.0:0              LISTENING       21560
  TCP    127.0.0.1:1521         0.0.0.0:0              LISTENING       4804
  TCP    127.0.0.1:1521         127.0.0.1:49674        ESTABLISHED     4804
  TCP    127.0.0.1:1521         127.0.0.1:49743        ESTABLISHED     4804
  TCP    127.0.0.1:1521         127.0.0.1:49938        ESTABLISHED     4804
  TCP    127.0.0.1:1521         127.0.0.1:52816        ESTABLISHED     4804
  TCP    127.0.0.1:1521         127.0.0.1:52817        ESTABLISHED     4804
  TCP    127.0.0.1:1521         127.0.0.1:52818        ESTABLISHED     4804
  TCP    127.0.0.1:1521         127.0.0.1:52819        ESTABLISHED     4804
  TCP    127.0.0.1:1521         127.0.0.1:52820        ESTABLISHED     4804
  TCP    127.0.0.1:1521         127.0.0.1:52821        ESTABLISHED     4804
  TCP    127.0.0.1:1521         127.0.0.1:58418        ESTABLISHED     4804
  TCP    127.0.0.1:1521         127.0.0.1:58430        ESTABLISHED     4804
  TCP    127.0.0.1:1521         127.0.0.1:58433        ESTABLISHED     4804
  TCP    127.0.0.1:1521         127.0.0.1:58440        ESTABLISHED     4804
  TCP    127.0.0.1:1521         127.0.0.1:59506        TIME_WAIT       0
  TCP    127.0.0.1:1521         127.0.0.1:59507        TIME_WAIT       0
  TCP    127.0.0.1:4441         0.0.0.0:0              LISTENING       24584
  TCP    127.0.0.1:8380         0.0.0.0:0              LISTENING       21560
  TCP    127.0.0.1:9291         0.0.0.0:0              LISTENING       26156
  TCP    127.0.0.1:10000        0.0.0.0:0              LISTENING       8996
  TCP    127.0.0.1:10530        0.0.0.0:0              LISTENING       12700
  TCP    127.0.0.1:10531        0.0.0.0:0              LISTENING       12700
  TCP    127.0.0.1:12517        0.0.0.0:0              LISTENING       32408
  TCP    127.0.0.1:12517        127.0.0.1:59431        ESTABLISHED     32408
  TCP    127.0.0.1:16105        0.0.0.0:0              LISTENING       26716
  TCP    127.0.0.1:16106        0.0.0.0:0              LISTENING       27708
  TCP    127.0.0.1:16107        0.0.0.0:0              LISTENING       22244
  TCP    127.0.0.1:16617        0.0.0.0:0              LISTENING       2980
  TCP    127.0.0.1:19507        0.0.0.0:0              LISTENING       26396
  TCP    127.0.0.1:31026        0.0.0.0:0              LISTENING       4616
  TCP    127.0.0.1:31027        0.0.0.0:0              LISTENING       4616
  TCP    127.0.0.1:31877        0.0.0.0:0              LISTENING       32772
  TCP    127.0.0.1:31877        127.0.0.1:59351        ESTABLISHED     32772
  TCP    127.0.0.1:34581        0.0.0.0:0              LISTENING       17648
  TCP    127.0.0.1:41130        0.0.0.0:0              LISTENING       1704
  TCP    127.0.0.1:45275        0.0.0.0:0              LISTENING       23228
  TCP    127.0.0.1:48870        0.0.0.0:0              LISTENING       32752
  TCP    127.0.0.1:49152        0.0.0.0:0              LISTENING       4832
  TCP    127.0.0.1:49669        0.0.0.0:0              LISTENING       4804
  TCP    127.0.0.1:49674        127.0.0.1:1521         ESTABLISHED     4760
  TCP    127.0.0.1:49743        127.0.0.1:1521         ESTABLISHED     8996
  TCP    127.0.0.1:49938        127.0.0.1:1521         ESTABLISHED     8996
  TCP    127.0.0.1:52816        127.0.0.1:1521         ESTABLISHED     8996
  TCP    127.0.0.1:52817        127.0.0.1:1521         ESTABLISHED     8996
  TCP    127.0.0.1:52818        127.0.0.1:1521         ESTABLISHED     8996
  TCP    127.0.0.1:52819        127.0.0.1:1521         ESTABLISHED     8996
  TCP    127.0.0.1:52820        127.0.0.1:1521         ESTABLISHED     8996
  TCP    127.0.0.1:52821        127.0.0.1:1521         ESTABLISHED     8996
  TCP    127.0.0.1:58407        127.0.0.1:58408        ESTABLISHED     10692
  TCP    127.0.0.1:58408        127.0.0.1:58407        ESTABLISHED     10692
  TCP    127.0.0.1:58418        127.0.0.1:1521         ESTABLISHED     10692
  TCP    127.0.0.1:58430        127.0.0.1:1521         ESTABLISHED     10692
  TCP    127.0.0.1:58433        127.0.0.1:1521         ESTABLISHED     10692
  TCP    127.0.0.1:58440        127.0.0.1:1521         ESTABLISHED     10692
  TCP    127.0.0.1:58442        0.0.0.0:0              LISTENING       22656
  TCP    127.0.0.1:58679        127.0.0.1:58680        ESTABLISHED     29340
  TCP    127.0.0.1:58680        127.0.0.1:58679        ESTABLISHED     29340
  TCP    127.0.0.1:58681        127.0.0.1:58682        ESTABLISHED     29340
  TCP    127.0.0.1:58682        127.0.0.1:58681        ESTABLISHED     29340
  TCP    127.0.0.1:58758        127.0.0.1:58761        FIN_WAIT_2      26932
  TCP    127.0.0.1:58758        127.0.0.1:58764        FIN_WAIT_2      26932
  TCP    127.0.0.1:58761        127.0.0.1:58758        CLOSE_WAIT      32752
  TCP    127.0.0.1:58764        127.0.0.1:58758        CLOSE_WAIT      32752
  TCP    127.0.0.1:59108        127.0.0.1:59111        FIN_WAIT_2      32524
  TCP    127.0.0.1:59108        127.0.0.1:59114        FIN_WAIT_2      32524
  TCP    127.0.0.1:59111        127.0.0.1:59108        CLOSE_WAIT      26156
  TCP    127.0.0.1:59114        127.0.0.1:59108        CLOSE_WAIT      26156
  TCP    127.0.0.1:59270        127.0.0.1:45275        TIME_WAIT       0
  TCP    127.0.0.1:59351        127.0.0.1:31877        ESTABLISHED     29340
  TCP    127.0.0.1:59431        127.0.0.1:12517        ESTABLISHED     29340
  TCP    127.0.0.1:59432        127.0.0.1:59435        TIME_WAIT       0
  TCP    127.0.0.1:59432        127.0.0.1:59440        TIME_WAIT       0
  TCP    127.0.0.1:59438        127.0.0.1:59432        TIME_WAIT       0
  TCP    192.168.79.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.217.1:139      0.0.0.0:0              LISTENING       4
  TCP    210.92.231.29:139      0.0.0.0:0              LISTENING       4
  TCP    210.92.231.29:58470    52.139.250.253:443     ESTABLISHED     4888
